run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
reentrancy_only,HyperVul native MIL,mil_topk,45,contract,precision_focused,target_precision,0.89,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2827568462051317,0.7098214285714286,0,182,0,16,198,16,182,0.1188118811881188,0.1188118811881188,0.1188118811881188,0.176,0.176,0.176,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,46,contract,max_f1,max_f1,0.9420000000000001,0.5,0.14285714285714285,0.0,0.0,0.0,0.0,0.3584050217458278,0.701923076923077,0,182,0,16,198,16,182,0.10666666666666667,0.1092436974789916,0.1092436974789916,0.642,0.458,0.458,0.7857142857142857,1.0,1.0
reentrancy_only,HyperVul native MIL,mil_topk,46,contract,high_recall,target_recall,0.458,0.08383233532934131,1.0,0.1092436974789916,0.8125,0.1925925925925926,0.3551912568306011,0.3584050217458278,0.701923076923077,13,76,106,3,198,16,182,0.10666666666666667,0.1092436974789916,0.1092436974789916,0.642,0.458,0.458,0.7857142857142857,1.0,1.0
reentrancy_only,HyperVul native MIL,mil_topk,46,contract,precision_focused,target_precision,0.738,0.13043478260869565,0.6428571428571429,0.1320754716981132,0.4375,0.2028985507246377,0.29914529914529914,0.3584050217458278,0.701923076923077,7,136,46,9,198,16,182,0.10666666666666667,0.1092436974789916,0.1092436974789916,0.642,0.458,0.458,0.7857142857142857,1.0,1.0
reentrancy_only,HyperVul native MIL,mil_attention,42,contract,max_f1,max_f1,0.882,0.6,0.21428571428571427,0.38461538461538464,0.3125,0.3448275862068966,0.3246753246753247,0.19930250507881642,0.696771978021978,5,174,8,11,198,16,182,0.13157894736842105,0.13157894736842105,0.12371134020618557,0.47400000000000003,0.47400000000000003,0.342,0.8571428571428571,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_attention,42,contract,high_recall,target_recall,0.342,0.10071942446043165,1.0,0.12371134020618557,0.75,0.21238938053097345,0.37267080745341613,0.19930250507881642,0.696771978021978,12,97,85,4,198,16,182,0.13157894736842105,0.13157894736842105,0.12371134020618557,0.47400000000000003,0.47400000000000003,0.342,0.8571428571428571,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_attention,42,contract,precision_focused,target_precision,0.9440000000000001,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.19930250507881642,0.696771978021978,0,182,0,16,198,16,182,0.13157894736842105,0.13157894736842105,0.12371134020618557,0.47400000000000003,0.47400000000000003,0.342,0.8571428571428571,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_attention,43,contract,max_f1,max_f1,0.9450000000000001,0.6,0.21428571428571427,0.35294117647058826,0.375,0.3636363636363636,0.3703703703703704,0.31907980062494434,0.7163461538461539,6,171,11,10,198,16,182,0.15492957746478872,0.12264150943396226,0.12264150943396226,0.704,0.5690000000000001,0.5690000000000001,0.7857142857142857,1.0,1.0
reentrancy_only,HyperVul native MIL,mil_attention,43,contract,high_recall,target_recall,0.5690000000000001,0.1044776119402985,1.0,0.12264150943396226,0.8125,0.21311475409836067,0.38235294117647056,0.31907980062494434,0.7163461538461539,13,89,93,3,198,16,182,0.15492957746478872,0.12264150943396226,0.12264150943396226,0.704,0.5690000000000001,0.5690000000000001,0.7857142857142857,1.0,1.0
reentrancy_only,HyperVul native MIL,mil_attention,43,contract,precision_focused,target_precision,0.973,1.0,0.14285714285714285,1.0,0.0625,0.11764705882352941,0.07692307692307693,0.31907980062494434,0.7163461538461539,1,182,0,15,198,16,182,0.15492957746478872,0.12264150943396226,0.12264150943396226,0.704,0.5690000000000001,0.5690000000000001,0.7857142857142857,1.0,1.0
