model,variant,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
CallGraph-GAT,augmented_data,43,contract,target_precision_80,target_precision,0.051000000000000004,0.15151515151515152,0.8695652173913043,0.10784313725490197,0.6875,0.18644067796610167,0.33132530120481934,0.17139516722169942,0.6796016483516484,11,91,91,5,198,16,182
CallGraph-GAT,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.20700000000000002,,,0.2222222222222222,0.375,0.27906976744186046,0.3296703296703297,0.17139516722169942,0.6796016483516484,6,161,21,10,198,16,182
Pairwise-RGCN,augmented_data,42,contract,max_f1,max_f1,0.062,0.1388888888888889,0.6521739130434783,0.09433962264150944,0.625,0.1639344262295082,0.2941176470588236,0.14082770959671884,0.6335851648351648,10,86,96,6,198,16,182
Pairwise-RGCN,augmented_data,42,contract,target_recall_90,target_recall,0.025,0.12365591397849462,1.0,0.10191082802547771,1.0,0.18497109826589597,0.3619909502262444,0.14082770959671884,0.6335851648351648,16,41,141,0,198,16,182
Pairwise-RGCN,augmented_data,42,contract,target_precision_80,target_precision,0.025,0.12365591397849462,1.0,0.10191082802547771,1.0,0.18497109826589597,0.3619909502262444,0.14082770959671884,0.6335851648351648,16,41,141,0,198,16,182
Pairwise-RGCN,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.139,,,0.14285714285714285,0.5625,0.22784810126582278,0.3543307086614173,0.14082770959671884,0.6335851648351648,9,128,54,7,198,16,182
Pairwise-RGCN,augmented_data,43,contract,max_f1,max_f1,0.088,0.15789473684210525,0.6521739130434783,0.125,0.625,0.20833333333333334,0.3472222222222222,0.13609227212006883,0.6624313186813187,10,112,70,6,198,16,182
Pairwise-RGCN,augmented_data,43,contract,target_recall_90,target_recall,0.054,0.14012738853503184,0.9565217391304348,0.104,0.8125,0.18439716312056736,0.34391534391534395,0.13609227212006883,0.6624313186813187,13,70,112,3,198,16,182
Pairwise-RGCN,augmented_data,43,contract,target_precision_80,target_precision,0.353,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.13609227212006883,0.6624313186813187,0,177,5,16,198,16,182
Pairwise-RGCN,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.132,,,0.14814814814814814,0.5,0.22857142857142856,0.3389830508474576,0.13609227212006883,0.6624313186813187,8,136,46,8,198,16,182
Pairwise-GAT,augmented_data,42,contract,max_f1,max_f1,0.068,0.16483516483516483,0.6521739130434783,0.13580246913580246,0.6875,0.22680412371134023,0.37931034482758613,0.21406264761672034,0.7259615384615385,11,112,70,5,198,16,182
Pairwise-GAT,augmented_data,42,contract,target_recall_90,target_recall,0.032,0.15217391304347827,0.9130434782608695,0.11926605504587157,0.8125,0.20800000000000002,0.37572254335260113,0.21406264761672034,0.7259615384615385,13,86,96,3,198,16,182
Pairwise-GAT,augmented_data,42,contract,target_precision_80,target_precision,0.032,0.15217391304347827,0.9130434782608695,0.11926605504587157,0.8125,0.20800000000000002,0.37572254335260113,0.21406264761672034,0.7259615384615385,13,86,96,3,198,16,182
Pairwise-GAT,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.382,,,0.35294117647058826,0.375,0.3636363636363636,0.3703703703703704,0.21406264761672034,0.7259615384615385,6,171,11,10,198,16,182
Pairwise-GAT,augmented_data,43,contract,max_f1,max_f1,0.07,0.17857142857142858,0.6521739130434783,0.14492753623188406,0.625,0.23529411764705882,0.3759398496240602,0.20172962475047607,0.7053571428571428,10,123,59,6,198,16,182
Pairwise-GAT,augmented_data,43,contract,target_recall_90,target_recall,0.026000000000000002,0.14285714285714285,0.9130434782608695,0.12380952380952381,0.8125,0.21487603305785125,0.3846153846153846,0.20172962475047607,0.7053571428571428,13,90,92,3,198,16,182
Pairwise-GAT,augmented_data,43,contract,target_precision_80,target_precision,0.451,1.0,0.08695652173913043,0.25,0.0625,0.1,0.07352941176470588,0.20172962475047607,0.7053571428571428,1,179,3,15,198,16,182
Pairwise-GAT,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.293,,,0.3157894736842105,0.375,0.34285714285714286,0.3614457831325301,0.20172962475047607,0.7053571428571428,6,169,13,10,198,16,182
Current HyperVul,augmented_data,42,contract,max_f1,max_f1,0.35100000000000003,0.1780821917808219,0.5652173913043478,0.1111111111111111,0.625,0.18867924528301885,0.3246753246753247,0.1321531664468661,0.6577953296703296,10,102,80,6,198,16,182
Current HyperVul,augmented_data,42,contract,target_recall_90,target_recall,0.185,0.11917098445595854,1.0,0.0963855421686747,1.0,0.1758241758241758,0.3478260869565218,0.1321531664468661,0.6577953296703296,16,32,150,0,198,16,182
Current HyperVul,augmented_data,42,contract,target_precision_80,target_precision,0.612,1.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.1321531664468661,0.6577953296703296,0,177,5,16,198,16,182
Current HyperVul,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.449,,,0.16981132075471697,0.5625,0.2608695652173913,0.38461538461538464,0.1321531664468661,0.6577953296703296,9,138,44,7,198,16,182
Current HyperVul,augmented_data,43,contract,max_f1,max_f1,0.536,0.19117647058823528,0.5652173913043478,0.13513513513513514,0.625,0.22222222222222224,0.3623188405797101,0.13238931287013173,0.6504120879120878,10,118,64,6,198,16,182
Current HyperVul,augmented_data,43,contract,target_recall_90,target_recall,0.358,0.12234042553191489,1.0,0.09316770186335403,0.9375,0.16949152542372878,0.3333333333333333,0.13238931287013173,0.6504120879120878,15,36,146,1,198,16,182
Current HyperVul,augmented_data,43,contract,target_precision_80,target_precision,0.744,1.0,0.08695652173913043,0.2,0.0625,0.09523809523809523,0.07246376811594203,0.13238931287013173,0.6504120879120878,1,178,4,15,198,16,182
Current HyperVul,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.542,,,0.14084507042253522,0.625,0.22988505747126436,0.37037037037037035,0.13238931287013173,0.6504120879120878,10,121,61,6,198,16,182
HyperVul-RiskSafety,gated,42,contract,max_f1,max_f1,0.025,0.14814814814814814,0.8695652173913043,0.10185185185185185,0.6875,0.17741935483870966,0.3197674418604651,0.1572051740809327,0.665521978021978,11,85,97,5,198,16,182
HyperVul-RiskSafety,gated,42,contract,target_recall_90,target_recall,0.021,0.14583333333333334,0.9130434782608695,0.09482758620689655,0.6875,0.16666666666666666,0.3055555555555555,0.1572051740809327,0.665521978021978,11,77,105,5,198,16,182
HyperVul-RiskSafety,gated,42,contract,target_precision_80,target_precision,0.209,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.1572051740809327,0.665521978021978,0,182,0,16,198,16,182
HyperVul-RiskSafety,gated,42,contract,test_oracle_max_f1,test_oracle,0.085,,,0.21621621621621623,0.5,0.3018867924528302,0.39603960396039606,0.1572051740809327,0.665521978021978,8,153,29,8,198,16,182
HyperVul-RiskSafety,gated,43,contract,max_f1,max_f1,0.048,0.2857142857142857,0.2608695652173913,0.05555555555555555,0.125,0.07692307692307691,0.1,0.1325817907286049,0.5635302197802198,2,148,34,14,198,16,182
HyperVul-RiskSafety,gated,43,contract,target_recall_90,target_recall,0.011,0.09349593495934959,1.0,0.08080808080808081,1.0,0.14953271028037382,0.3053435114503817,0.1325817907286049,0.5635302197802198,16,0,182,0,198,16,182
HyperVul-RiskSafety,gated,43,contract,target_precision_80,target_precision,0.078,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.1325817907286049,0.5635302197802198,0,182,0,16,198,16,182
HyperVul-RiskSafety,gated,43,contract,test_oracle_max_f1,test_oracle,0.037,,,0.12941176470588237,0.6875,0.21782178217821782,0.3691275167785235,0.1325817907286049,0.5635302197802198,11,108,74,5,198,16,182
