model,seed,threshold_policy,selection_policy,level,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
Function+Features MLP,46,max_f1,max_f1,contract,0.8200000000000001,0.2619047619047619,0.7333333333333333,0.21505376344086022,0.6666666666666666,0.3252032520325203,0.4694835680751173,0.21549490753643236,0.6882783882783883,20,109,73,10,212,30,182,0.21505376344086022,0.21904761904761905,0.18791946308724833,0.8200000000000001,0.733,0.333,0.7333333333333333,0.8,0.9666666666666667
Function+Features MLP,46,high_recall,target_recall,contract,0.333,0.15760869565217392,0.9666666666666667,0.18791946308724833,0.9333333333333333,0.3128491620111732,0.5204460966542751,0.21549490753643236,0.6882783882783883,28,61,121,2,212,30,182,0.21505376344086022,0.21904761904761905,0.18791946308724833,0.8200000000000001,0.733,0.333,0.7333333333333333,0.8,0.9666666666666667
Function+Features MLP,46,precision_focused,target_precision,contract,0.999,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.21549490753643236,0.6882783882783883,0,182,0,30,212,30,182,0.21505376344086022,0.21904761904761905,0.18791946308724833,0.8200000000000001,0.733,0.333,0.7333333333333333,0.8,0.9666666666666667
Sequence-BiGRU,42,max_f1,max_f1,contract,0.8150000000000001,0.23684210526315788,0.6,0.208955223880597,0.4666666666666667,0.28865979381443296,0.37433155080213903,0.23516030087366396,0.6847985347985348,14,129,53,16,212,30,182,0.18493150684931506,0.16666666666666666,0.16666666666666666,0.215,0.075,0.075,0.7666666666666667,0.9333333333333333,0.9333333333333333
Sequence-BiGRU,42,high_recall,target_recall,contract,0.075,0.12280701754385964,0.9333333333333333,0.16666666666666666,0.9333333333333333,0.2828282828282828,0.48611111111111105,0.23516030087366396,0.6847985347985348,28,42,140,2,212,30,182,0.18493150684931506,0.16666666666666666,0.16666666666666666,0.215,0.075,0.075,0.7666666666666667,0.9333333333333333,0.9333333333333333
Sequence-BiGRU,42,precision_focused,target_precision,contract,0.999,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.23516030087366396,0.6847985347985348,0,182,0,30,212,30,182,0.18493150684931506,0.16666666666666666,0.16666666666666666,0.215,0.075,0.075,0.7666666666666667,0.9333333333333333,0.9333333333333333
Sequence-BiGRU,43,max_f1,max_f1,contract,0.922,0.2916666666666667,0.4666666666666667,0.2631578947368421,0.3333333333333333,0.29411764705882354,0.3164556962025316,0.25283329784954334,0.6787545787545787,10,154,28,20,212,30,182,0.1865671641791045,0.18120805369127516,0.16201117318435754,0.548,0.359,0.10400000000000001,0.7,0.8333333333333334,1.0
Sequence-BiGRU,43,high_recall,target_recall,contract,0.10400000000000001,0.12096774193548387,1.0,0.16201117318435754,0.9666666666666667,0.27751196172248804,0.48494983277591974,0.25283329784954334,0.6787545787545787,29,32,150,1,212,30,182,0.1865671641791045,0.18120805369127516,0.16201117318435754,0.548,0.359,0.10400000000000001,0.7,0.8333333333333334,1.0
Sequence-BiGRU,43,precision_focused,target_precision,contract,0.998,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.25283329784954334,0.6787545787545787,0,182,0,30,212,30,182,0.1865671641791045,0.18120805369127516,0.16201117318435754,0.548,0.359,0.10400000000000001,0.7,0.8333333333333334,1.0
Sequence-BiGRU,44,max_f1,max_f1,contract,0.92,0.26785714285714285,0.5,0.275,0.36666666666666664,0.3142857142857143,0.34374999999999994,0.33328829002318605,0.7047619047619048,11,153,29,19,212,30,182,0.21495327102803738,0.19148936170212766,0.16766467065868262,0.667,0.41500000000000004,0.14200000000000002,0.7,0.8,0.9666666666666667
Sequence-BiGRU,44,high_recall,target_recall,contract,0.14200000000000002,0.12831858407079647,0.9666666666666667,0.16766467065868262,0.9333333333333333,0.28426395939086296,0.4878048780487804,0.33328829002318605,0.7047619047619048,28,43,139,2,212,30,182,0.21495327102803738,0.19148936170212766,0.16766467065868262,0.667,0.41500000000000004,0.14200000000000002,0.7,0.8,0.9666666666666667
Sequence-BiGRU,44,precision_focused,target_precision,contract,0.79,0.21839080459770116,0.6333333333333333,0.2261904761904762,0.6333333333333333,0.3333333333333333,0.4656862745098039,0.33328829002318605,0.7047619047619048,19,117,65,11,212,30,182,0.21495327102803738,0.19148936170212766,0.16766467065868262,0.667,0.41500000000000004,0.14200000000000002,0.7,0.8,0.9666666666666667
Sequence-BiGRU,45,max_f1,max_f1,contract,0.8290000000000001,0.21649484536082475,0.7,0.21978021978021978,0.6666666666666666,0.33057851239669417,0.4739336492890996,0.27904776929373554,0.6937728937728938,20,111,71,10,212,30,182,0.21978021978021978,0.1836734693877551,0.16766467065868262,0.8290000000000001,0.421,0.165,0.7,0.8333333333333334,0.9
Sequence-BiGRU,45,high_recall,target_recall,contract,0.165,0.11894273127753303,0.9,0.16766467065868262,0.9333333333333333,0.28426395939086296,0.4878048780487804,0.27904776929373554,0.6937728937728938,28,43,139,2,212,30,182,0.21978021978021978,0.1836734693877551,0.16766467065868262,0.8290000000000001,0.421,0.165,0.7,0.8333333333333334,0.9
Sequence-BiGRU,45,precision_focused,target_precision,contract,0.999,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.27904776929373554,0.6937728937728938,0,182,0,30,212,30,182,0.21978021978021978,0.1836734693877551,0.16766467065868262,0.8290000000000001,0.421,0.165,0.7,0.8333333333333334,0.9
Sequence-BiGRU,46,max_f1,max_f1,contract,0.913,0.24074074074074073,0.43333333333333335,0.27906976744186046,0.4,0.32876712328767127,0.36809815950920244,0.26660472339935504,0.6811355311355312,12,151,31,18,212,30,182,0.18796992481203006,0.17880794701986755,0.16666666666666666,0.455,0.23600000000000002,0.078,0.7,0.8,0.9333333333333333
Sequence-BiGRU,46,high_recall,target_recall,contract,0.078,0.12280701754385964,0.9333333333333333,0.16666666666666666,0.9666666666666667,0.28431372549019607,0.49319727891156456,0.26660472339935504,0.6811355311355312,29,37,145,1,212,30,182,0.18796992481203006,0.17880794701986755,0.16666666666666666,0.455,0.23600000000000002,0.078,0.7,0.8,0.9333333333333333
Sequence-BiGRU,46,precision_focused,target_precision,contract,0.999,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.26660472339935504,0.6811355311355312,0,182,0,30,212,30,182,0.18796992481203006,0.17880794701986755,0.16666666666666666,0.455,0.23600000000000002,0.078,0.7,0.8,0.9333333333333333
