run,method,variant,pooling,seed,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
all_scope,shortcut_aug_bce,gated,mil_topk,43,high_recall,target_recall,0.619,0.27,0.9,0.3020833333333333,0.9666666666666667,0.46031746031746024,0.6712962962962964,0.6677171084955205,0.8928571428571428,29,115,67,1,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,43,precision_focused,target_precision,0.993,0.875,0.4666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6677171084955205,0.8928571428571428,17,169,13,13,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,43,test_oracle_max_f1,test_oracle,0.995,,,0.6538461538461539,0.5666666666666667,0.6071428571428571,0.5821917808219177,0.6677171084955205,0.8928571428571428,17,173,9,13,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,43,max_f1,max_f1,0.977,0.7272727272727273,0.5333333333333333,0.4634146341463415,0.6333333333333333,0.5352112676056339,0.5900621118012422,0.48418663857430727,0.8835164835164835,19,160,22,11,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,43,high_recall,target_recall,0.37,0.25688073394495414,0.9333333333333333,0.234375,1.0,0.379746835443038,0.6048387096774194,0.48418663857430727,0.8835164835164835,30,84,98,0,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,43,precision_focused,target_precision,0.977,0.7272727272727273,0.5333333333333333,0.4634146341463415,0.6333333333333333,0.5352112676056339,0.5900621118012422,0.48418663857430727,0.8835164835164835,19,160,22,11,212,30,182
all_scope,shortcut_aug_bce,rule_suppression,mil_topk,43,test_oracle_max_f1,test_oracle,0.965,,,0.46808510638297873,0.7333333333333333,0.5714285714285714,0.6586826347305388,0.48418663857430727,0.8835164835164835,22,157,25,8,212,30,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,44,max_f1,max_f1,0.419,0.5,0.7857142857142857,0.52,0.8125,0.6341463414634146,0.7303370786516855,0.5897872834466855,0.9258241758241759,13,170,12,3,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,44,high_recall,target_recall,0.164,0.43333333333333335,0.9285714285714286,0.3939393939393939,0.8125,0.5306122448979591,0.6701030927835051,0.5897872834466855,0.9258241758241759,13,162,20,3,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,44,precision_focused,target_precision,0.994,1.0,0.14285714285714285,0.75,0.1875,0.3,0.22058823529411764,0.5897872834466855,0.9258241758241759,3,181,1,13,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,44,test_oracle_max_f1,test_oracle,0.481,,,0.5652173913043478,0.8125,0.6666666666666667,0.7471264367816091,0.5897872834466855,0.9258241758241759,13,172,10,3,198,16,182
