run,strategy,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,hard_negative_upweight,mil_topk,44,interaction,high_recall,target_recall,0.041,0.03955288048151333,0.9019607843137255,0.04534883720930233,0.975,0.08666666666666666,0.19117647058823534,0.11034172371323356,0.8084533898305084,39,359,821,1,1220,40,1180,0.0790273556231003,0.06529850746268656,0.04534883720930233,0.168,0.099,0.041,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,44,interaction,precision_focused,target_precision,0.229,0.12550607287449392,0.6078431372549019,0.11557788944723618,0.575,0.19246861924686193,0.32033426183844005,0.11034172371323356,0.8084533898305084,23,1004,176,17,1220,40,1180,0.0790273556231003,0.06529850746268656,0.04534883720930233,0.168,0.099,0.041,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,44,interaction,max_f1,max_f1,0.623,0.15306122448979592,0.29411764705882354,0.10309278350515463,0.25,0.14598540145985403,0.19455252918287935,0.08521113286301614,0.7842584745762712,10,1093,87,30,1220,40,1180,0.07672634271099744,0.05950095969289827,0.044167610419026046,0.4,0.336,0.182,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,44,interaction,high_recall,target_recall,0.182,0.03872053872053872,0.9019607843137255,0.044167610419026046,0.975,0.08450704225352113,0.18696069031639503,0.08521113286301614,0.7842584745762712,39,336,844,1,1220,40,1180,0.07672634271099744,0.05950095969289827,0.044167610419026046,0.4,0.336,0.182,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,44,interaction,precision_focused,target_precision,0.46900000000000003,0.10596026490066225,0.6274509803921569,0.09259259259259259,0.625,0.16129032258064516,0.2906976744186046,0.08521113286301614,0.7842584745762712,25,935,245,15,1220,40,1180,0.07672634271099744,0.05950095969289827,0.044167610419026046,0.4,0.336,0.182,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,baseline,mil_topk,45,interaction,max_f1,max_f1,0.982,0.4782608695652174,0.21568627450980393,0.16666666666666666,0.05,0.07692307692307691,0.05813953488372093,0.11630289688229535,0.8064406779661017,2,1170,10,38,1220,40,1180,0.08588957055214724,0.07157894736842105,0.06074766355140187,0.8170000000000001,0.7030000000000001,0.501,0.7058823529411765,0.803921568627451,0.9019607843137255
all_scope,baseline,mil_topk,45,interaction,high_recall,target_recall,0.501,0.04867724867724868,0.9019607843137255,0.06074766355140187,0.975,0.11436950146627566,0.243142144638404,0.11630289688229535,0.8064406779661017,39,577,603,1,1220,40,1180,0.08588957055214724,0.07157894736842105,0.06074766355140187,0.8170000000000001,0.7030000000000001,0.501,0.7058823529411765,0.803921568627451,0.9019607843137255
all_scope,baseline,mil_topk,45,interaction,precision_focused,target_precision,0.906,0.11428571428571428,0.5490196078431373,0.11764705882352941,0.5,0.19047619047619047,0.30303030303030304,0.11630289688229535,0.8064406779661017,20,1030,150,20,1220,40,1180,0.08588957055214724,0.07157894736842105,0.06074766355140187,0.8170000000000001,0.7030000000000001,0.501,0.7058823529411765,0.803921568627451,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,45,interaction,max_f1,max_f1,0.902,0.19672131147540983,0.23529411764705882,0.1346153846153846,0.175,0.15217391304347824,0.1650943396226415,0.11266086781687126,0.8109957627118644,7,1135,45,33,1220,40,1180,0.07988165680473373,0.06805293005671077,0.05220883534136546,0.745,0.64,0.492,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,45,interaction,high_recall,target_recall,0.492,0.04632426988922457,0.9019607843137255,0.05220883534136546,0.975,0.0991105463786531,0.21499448732083787,0.11266086781687126,0.8109957627118644,39,472,708,1,1220,40,1180,0.07988165680473373,0.06805293005671077,0.05220883534136546,0.745,0.64,0.492,0.7058823529411765,0.8235294117647058,0.9019607843137255
