run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
all_scope,HyperVul native MIL,mil_topk,45,interaction,high_recall,target_recall,0.397,0.050716648291069456,0.9019607843137255,0.05572755417956656,0.9,0.10495626822157435,0.22332506203473945,0.11950895265395547,0.8146186440677966,36,570,610,4,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,45,interaction,precision_focused,target_precision,0.85,0.14814814814814814,0.47058823529411764,0.13821138211382114,0.425,0.2085889570552147,0.3003533568904594,0.11950895265395547,0.8146186440677966,17,1074,106,23,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,46,interaction,max_f1,max_f1,0.712,0.24390243902439024,0.19607843137254902,0.1702127659574468,0.2,0.18390804597701152,0.19323671497584544,0.11419172221251364,0.7919915254237289,8,1141,39,32,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,46,interaction,high_recall,target_recall,0.111,0.05043859649122807,0.9019607843137255,0.05421686746987952,0.9,0.10227272727272727,0.21844660194174756,0.11419172221251364,0.7919915254237289,36,552,628,4,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,46,interaction,precision_focused,target_precision,0.46,0.11682242990654206,0.49019607843137253,0.12962962962962962,0.525,0.20792079207920788,0.32608695652173914,0.11419172221251364,0.7919915254237289,21,1039,141,19,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,42,interaction,max_f1,max_f1,0.758,0.16783216783216784,0.47058823529411764,0.1282051282051282,0.375,0.19108280254777069,0.27075812274368233,0.12495079990490968,0.8075,15,1078,102,25,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,42,interaction,high_recall,target_recall,0.113,0.0432780847145488,0.9215686274509803,0.04785276073619632,0.975,0.09122807017543859,0.20000000000000004,0.12495079990490968,0.8075,39,404,776,1,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,42,interaction,precision_focused,target_precision,0.758,0.16783216783216784,0.47058823529411764,0.1282051282051282,0.375,0.19108280254777069,0.27075812274368233,0.12495079990490968,0.8075,15,1078,102,25,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,43,interaction,max_f1,max_f1,0.926,0.19387755102040816,0.37254901960784315,0.16049382716049382,0.325,0.21487603305785125,0.26970954356846477,0.13042147122328954,0.8112923728813559,13,1112,68,27,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,43,interaction,high_recall,target_recall,0.176,0.04178019981834696,0.9019607843137255,0.048507462686567165,0.975,0.0924170616113744,0.20228215767634855,0.13042147122328954,0.8112923728813559,39,415,765,1,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,43,interaction,precision_focused,target_precision,0.901,0.16326530612244897,0.47058823529411764,0.13333333333333333,0.4,0.2,0.2857142857142857,0.13042147122328954,0.8112923728813559,16,1076,104,24,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,44,interaction,max_f1,max_f1,0.773,0.2,0.29411764705882354,0.14772727272727273,0.325,0.203125,0.2620967741935484,0.13442597703208098,0.8033898305084746,13,1105,75,27,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,44,interaction,high_recall,target_recall,0.162,0.04946236559139785,0.9019607843137255,0.04807692307692308,0.875,0.09114583333333333,0.19707207207207209,0.13442597703208098,0.8033898305084746,35,487,693,5,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,44,interaction,precision_focused,target_precision,0.552,0.11295681063122924,0.6666666666666666,0.11255411255411256,0.65,0.1918819188191882,0.3324808184143223,0.13442597703208098,0.8033898305084746,26,975,205,14,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,45,interaction,max_f1,max_f1,0.9580000000000001,0.26666666666666666,0.23529411764705882,0.18181818181818182,0.15,0.16438356164383564,0.15544041450777205,0.14477990326266596,0.8148516949152542,6,1153,27,34,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,45,interaction,high_recall,target_recall,0.394,0.045771144278606964,0.9019607843137255,0.05454545454545454,0.975,0.10331125827814569,0.22285714285714284,0.14477990326266596,0.8148516949152542,39,504,676,1,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,45,interaction,precision_focused,target_precision,0.907,0.13705583756345177,0.5294117647058824,0.11678832116788321,0.4,0.18079096045197743,0.26936026936026936,0.14477990326266596,0.8148516949152542,16,1059,121,24,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,46,interaction,max_f1,max_f1,0.777,0.13970588235294118,0.37254901960784315,0.12173913043478261,0.35,0.1806451612903226,0.2545454545454546,0.14774509203533231,0.7999576271186442,14,1079,101,26,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,46,interaction,high_recall,target_recall,0.181,0.04364326375711575,0.9019607843137255,0.05241379310344828,0.95,0.09934640522875816,0.21468926553672318,0.14774509203533231,0.7999576271186442,38,493,687,2,1220,40,1180
all_scope,HyperVul native MIL,mil_attention,46,interaction,precision_focused,target_precision,0.683,0.11494252873563218,0.5882352941176471,0.09743589743589744,0.475,0.16170212765957448,0.2676056338028169,0.14774509203533231,0.7999576271186442,19,1004,176,21,1220,40,1180
reentrancy_only,HyperVul native MIL,mil_max,42,interaction,max_f1,max_f1,0.841,0.1346153846153846,0.5384615384615384,0.0875,0.35,0.13999999999999999,0.21875,0.14094016102152626,0.7996669838249286,7,978,73,13,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,42,interaction,high_recall,target_recall,0.48,0.038523274478330656,0.9230769230769231,0.04155124653739612,0.75,0.07874015748031496,0.17006802721088435,0.14094016102152626,0.7996669838249286,15,705,346,5,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,42,interaction,precision_focused,target_precision,0.841,0.1346153846153846,0.5384615384615384,0.0875,0.35,0.13999999999999999,0.21875,0.14094016102152626,0.7996669838249286,7,978,73,13,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,43,interaction,max_f1,max_f1,0.786,0.12,0.5769230769230769,0.09574468085106383,0.45,0.15789473684210525,0.2586206896551724,0.189140309164204,0.802140818268316,9,966,85,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,43,interaction,high_recall,target_recall,0.38,0.032432432432432434,0.9230769230769231,0.03981264637002342,0.85,0.07606263982102908,0.16765285996055226,0.189140309164204,0.802140818268316,17,641,410,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,43,interaction,precision_focused,target_precision,0.786,0.12,0.5769230769230769,0.09574468085106383,0.45,0.15789473684210525,0.2586206896551724,0.189140309164204,0.802140818268316,9,966,85,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,44,interaction,max_f1,max_f1,0.493,0.11538461538461539,0.46153846153846156,0.08536585365853659,0.35,0.1372549019607843,0.2160493827160494,0.16757023072721758,0.7945290199809706,7,976,75,13,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,44,interaction,high_recall,target_recall,0.128,0.03287671232876712,0.9230769230769231,0.03636363636363636,0.8,0.06956521739130435,0.15384615384615385,0.16757023072721758,0.7945290199809706,16,627,424,4,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,44,interaction,precision_focused,target_precision,0.34500000000000003,0.09574468085106383,0.6923076923076923,0.07194244604316546,0.5,0.12578616352201258,0.228310502283105,0.16757023072721758,0.7945290199809706,10,922,129,10,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,45,interaction,max_f1,max_f1,0.28600000000000003,0.1038961038961039,0.6153846153846154,0.064,0.4,0.1103448275862069,0.1951219512195122,0.1455488357550516,0.8029971455756422,8,934,117,12,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,45,interaction,high_recall,target_recall,0.07100000000000001,0.03404255319148936,0.9230769230769231,0.03926096997690531,0.85,0.0750551876379691,0.16569200779727095,0.1455488357550516,0.8029971455756422,17,635,416,3,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,45,interaction,precision_focused,target_precision,0.28600000000000003,0.1038961038961039,0.6153846153846154,0.064,0.4,0.1103448275862069,0.1951219512195122,0.1455488357550516,0.8029971455756422,8,934,117,12,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,46,interaction,max_f1,max_f1,0.715,0.1111111111111111,0.5384615384615384,0.09722222222222222,0.35,0.15217391304347827,0.2302631578947368,0.1126306584763688,0.7931018078020933,7,986,65,13,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,46,interaction,high_recall,target_recall,0.305,0.02679528403001072,0.9615384615384616,0.03529411764705882,0.9,0.0679245283018868,0.15254237288135591,0.1126306584763688,0.7931018078020933,18,559,492,2,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_max,46,interaction,precision_focused,target_precision,0.704,0.10714285714285714,0.5769230769230769,0.08536585365853659,0.35,0.1372549019607843,0.2160493827160494,0.1126306584763688,0.7931018078020933,7,976,75,13,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,42,interaction,max_f1,max_f1,0.88,0.11764705882352941,0.5384615384615384,0.1267605633802817,0.45,0.1978021978021978,0.2980132450331126,0.12424884407381286,0.8172692673644149,9,989,62,11,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,42,interaction,high_recall,target_recall,0.543,0.03827751196172249,0.9230769230769231,0.045454545454545456,0.75,0.08571428571428572,0.18292682926829268,0.12424884407381286,0.8172692673644149,15,736,315,5,1071,20,1051
reentrancy_only,HyperVul native MIL,mil_topk,42,interaction,precision_focused,target_precision,0.88,0.11764705882352941,0.5384615384615384,0.1267605633802817,0.45,0.1978021978021978,0.2980132450331126,0.12424884407381286,0.8172692673644149,9,989,62,11,1071,20,1051
